商品マスタID,Mycaアプリ上でのID,商品名,商品名カナ,エキスパンション,カード番号,レアリティ,封入パック,キーワード,JANコード,表示順,ジャンル,カテゴリ,販売店舗価格,買取価格,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
,800374410,禁断の轟速 ブラックゾーン,,DM25RP1,TR9/TR9,SR,第1弾 邪神vs邪神 ～ソウル・オブ・ジ・アビス～,,,,,カード,1980,1800,,https://dm.takaratomy.co.jp/wp-content/card/cardimage/dm25rp1-TR09.jpg,,,,
,800374405,流星のガイアッシュ・カイザー,,DM25RP1,TR8/TR9,SR,第1弾 邪神vs邪神 ～ソウル・オブ・ジ・アビス～,,,,,カード,1580,1100,,https://dm.takaratomy.co.jp/wp-content/card/cardimage/dm25rp1-TR08.jpg,,,,
,800374395,聖霊王アルファリオン,,DM25RP1,TR6/TR9,P(SR),第1弾 邪神vs邪神 ～ソウル・オブ・ジ・アビス～,,,,,カード,1980,1400,,https://dm.takaratomy.co.jp/wp-content/card/cardimage/dm25rp1-TR06.jpg,,,,
,800374370,聖魔連結王 ドルファディロム,,DM25RP1,TR1/TR9,KGM,第1弾 邪神vs邪神 ～ソウル・オブ・ジ・アビス～,,,,,カード,180,50,,https://dm.takaratomy.co.jp/wp-content/card/cardimage/dm25rp1-TR01.jpg,,,,
,800374315,BARUGA-猿蒸86,,DM25RP1,秘24/秘24,C,第1弾 邪神vs邪神 ～ソウル・オブ・ジ・アビス～,,,,,カード,380,200,,https://dm.takaratomy.co.jp/wp-content/card/cardimage/dm25rp1-Sec24.jpg,,,,
,800374310,魔誕妖蟲エキサイト・ワーム,,DM25RP1,秘23/秘24,C,第1弾 邪神vs邪神 ～ソウル・オブ・ジ・アビス～,,,,,カード,180,50,,https://dm.takaratomy.co.jp/wp-content/card/cardimage/dm25rp1-Sec23.jpg,,,,
,800374295,超魂設計図,,DM25RP1,秘20/秘24,U,第1弾 邪神vs邪神 ～ソウル・オブ・ジ・アビス～,,,,,カード,680,200,,https://dm.takaratomy.co.jp/wp-content/card/cardimage/dm25rp1-Sec20.jpg,,,,
,800374290,洗打の妖精,,DM25RP1,秘19/秘24,U,第1弾 邪神vs邪神 ～ソウル・オブ・ジ・アビス～,,,,,カード,1080,700,,https://dm.takaratomy.co.jp/wp-content/card/cardimage/dm25rp1-Sec19.jpg,,,,
,800374285,～不死の黄昏司祭～,,DM25RP1,秘18/秘24,R,第1弾 邪神vs邪神 ～ソウル・オブ・ジ・アビス～,,,,,カード,480,200,,https://dm.takaratomy.co.jp/wp-content/card/cardimage/dm25rp1-Sec18.jpg,,,,
,800374280,至高の邪騎 スベルニル,,DM25RP1,秘17/秘24,R,第1弾 邪神vs邪神 ～ソウル・オブ・ジ・アビス～,,,,,カード,780,300,,https://dm.takaratomy.co.jp/wp-content/card/cardimage/dm25rp1-Sec17.jpg,,,,
,800374270,R・R・R,,DM25RP1,秘15/秘24,VR,第1弾 邪神vs邪神 ～ソウル・オブ・ジ・アビス～,,,,,カード,480,200,,https://dm.takaratomy.co.jp/wp-content/card/cardimage/dm25rp1-Sec15.jpg,,,,
,800374265,貴布人 テブルカッケ＝エディ,,DM25RP1,秘14/秘24,VR,第1弾 邪神vs邪神 ～ソウル・オブ・ジ・アビス～,,,,,カード,1680,1000,,https://dm.takaratomy.co.jp/wp-content/card/cardimage/dm25rp1-Sec14.jpg,,,,
,800374260,～鉄装の氷騎士～,,DM25RP1,秘13/秘24,VR,第1弾 邪神vs邪神 ～ソウル・オブ・ジ・アビス～,,,,,カード,380,200,,https://dm.takaratomy.co.jp/wp-content/card/cardimage/dm25rp1-Sec13.jpg,,,,
,800374255,堕チシ八叉ノ蛇神,,DM25RP1,秘12/秘24,SR,第1弾 邪神vs邪神 ～ソウル・オブ・ジ・アビス～,,,,,カード,780,500,,https://dm.takaratomy.co.jp/wp-content/card/cardimage/dm25rp1-Sec12.jpg,,,,
,800374250,邪龍 ジャジーブラッド,,DM25RP1,秘11/秘24,SR,第1弾 邪神vs邪神 ～ソウル・オブ・ジ・アビス～,,,,,カード,4680,3500,,https://dm.takaratomy.co.jp/wp-content/card/cardimage/dm25rp1-Sec11.jpg,,,,
,800374245,暴覇斬空SHIDEN-410,,DM25RP1,秘10/秘24,SR,第1弾 邪神vs邪神 ～ソウル・オブ・ジ・アビス～,,,,,カード,1480,800,,https://dm.takaratomy.co.jp/wp-content/card/cardimage/dm25rp1-Sec10.jpg,,,,
,800374240,竜社長 ゴルファウンデーション,,DM25RP1,秘9/秘24,SR,第1弾 邪神vs邪神 ～ソウル・オブ・ジ・アビス～,,,,,カード,1180,700,,https://dm.takaratomy.co.jp/wp-content/card/cardimage/dm25rp1-Sec09.jpg,,,,
,800374235,真気楼と誠偽感の決断,,DM25RP1,秘8/秘24,SR,第1弾 邪神vs邪神 ～ソウル・オブ・ジ・アビス～,,,,,カード,11800,8000,,https://dm.takaratomy.co.jp/wp-content/card/cardimage/dm25rp1-Sec08.jpg,,,,
,800374230,～邪眼帝～,,DM25RP1,秘7/秘24,SR,第1弾 邪神vs邪神 ～ソウル・オブ・ジ・アビス～,,,,,カード,2480,1500,,https://dm.takaratomy.co.jp/wp-content/card/cardimage/dm25rp1-Sec07.jpg,,,,
,800374225,十四番龍 アクロスラピュタズ Par青天井,,DM25RP1,秘6/秘24,SR,第1弾 邪神vs邪神 ～ソウル・オブ・ジ・アビス～,,,,,カード,1180,600,,https://dm.takaratomy.co.jp/wp-content/card/cardimage/dm25rp1-Sec06.jpg,,,,
,800374220,魔誕の悪魔デスモナーク,,DM25RP1,秘5/秘24,SR,第1弾 邪神vs邪神 ～ソウル・オブ・ジ・アビス～,,,,,カード,1280,1300,,https://dm.takaratomy.co.jp/wp-content/card/cardimage/dm25rp1-Sec05.jpg,,,,
,800374210,〜西方より来る激流の竜騎公〜,,DM25RP1,秘3/秘24,SR,第1弾 邪神vs邪神 ～ソウル・オブ・ジ・アビス～,,,,,カード,2480,2000,,https://dm.takaratomy.co.jp/wp-content/card/cardimage/dm25rp1-Sec03.jpg,,,,
,800374205,昇カオスマントラ,,DM25RP1,秘2/秘24,SR,第1弾 邪神vs邪神 ～ソウル・オブ・ジ・アビス～,,,,,カード,4580,3500,,https://dm.takaratomy.co.jp/wp-content/card/cardimage/dm25rp1-Sec02.jpg,,,,
,800374200,至高の魂 アビスベル＝ジャシン帝,,DM25RP1,秘1/秘24,OR,第1弾 邪神vs邪神 ～ソウル・オブ・ジ・アビス～,,,,,カード,880,500,,https://dm.takaratomy.co.jp/wp-content/card/cardimage/dm25rp1-Sec01.jpg,,,,
,800374190,邪龍 ジャジーブラッド,,DM25RP1,S10/S11,SR,第1弾 邪神vs邪神 ～ソウル・オブ・ジ・アビス～,,,,,カード,1980,1000,,https://dm.takaratomy.co.jp/wp-content/card/cardimage/dm25rp1-S10.jpg,,,,
,800374185,暴覇斬空SHIDEN-410,,DM25RP1,S9/S11,SR,第1弾 邪神vs邪神 ～ソウル・オブ・ジ・アビス～,,,,,カード,280,200,,https://dm.takaratomy.co.jp/wp-content/card/cardimage/dm25rp1-S09.jpg,,,,
,800374175,真気楼と誠偽感の決断,,DM25RP1,S7/S11,SR,第1弾 邪神vs邪神 ～ソウル・オブ・ジ・アビス～,,,,,カード,4280,3300,,https://dm.takaratomy.co.jp/wp-content/card/cardimage/dm25rp1-S07.jpg,,,,
,800374170,～邪眼帝～,,DM25RP1,S6/S11,SR,第1弾 邪神vs邪神 ～ソウル・オブ・ジ・アビス～,,,,,カード,380,200,,https://dm.takaratomy.co.jp/wp-content/card/cardimage/dm25rp1-S06.jpg,,,,
,800374160,魔誕の悪魔デスモナーク,,DM25RP1,S4/S11,SR,第1弾 邪神vs邪神 ～ソウル・オブ・ジ・アビス～,,,,,カード,580,700,,https://dm.takaratomy.co.jp/wp-content/card/cardimage/dm25rp1-S04.jpg,,,,
,800374150,〜西方より来る激流の竜騎公〜,,DM25RP1,S2/S11,SR,第1弾 邪神vs邪神 ～ソウル・オブ・ジ・アビス～,,,,,カード,780,600,,https://dm.takaratomy.co.jp/wp-content/card/cardimage/dm25rp1-S02.jpg,,,,
,800374145,昇カオスマントラ,,DM25RP1,S1/S11,SR,第1弾 邪神vs邪神 ～ソウル・オブ・ジ・アビス～,,,,,カード,2580,1800,,https://dm.takaratomy.co.jp/wp-content/card/cardimage/dm25rp1-S01.jpg,,,,
,800373785,貴布人 テブルカッケ＝エディ,,DM25RP1,6/77,VR,第1弾 邪神vs邪神 ～ソウル・オブ・ジ・アビス～,,,,,カード,480,50,,https://dm.takaratomy.co.jp/wp-content/card/cardimage/dm25rp1-006.jpg,,,,
,800373510,天災 デドダム,,Y24,P32/Y24,-,公認イベント にじさんじコラボマスターズ「異次元の超獣使いバーチャル・デュエリスト」限定戦バトルステージ 優勝者賞及びジャンケン大会優勝者賞,,,,,カード,6080,4200,,https://dm.takaratomy.co.jp/wp-content/card/cardimage/promoy24-032.jpg,,,,
,800373500,ジャンボ・ラパダイス,,Y24,P30/Y24,U,漫画『Duel Masters LOST ～月下の死神～』下巻付録,,,,,カード,1380,1000,,https://dm.takaratomy.co.jp/wp-content/card/cardimage/promoy24-030.jpg,,,,
,800373490,調律師ピーカプ/♪音速で 本番中に チューニング,,Y24,P28/Y24,R,スペシャルプロモパック2025 Vol.1,,,,,カード,280,100,,https://dm.takaratomy.co.jp/wp-content/card/cardimage/promoy24-028a.jpg,,,,
,800373480,生魂転霊,,Y24,P26/Y24,C,スペシャルプロモパック2025 Vol.1,,,,,カード,180,100,,https://dm.takaratomy.co.jp/wp-content/card/cardimage/promoy24-026.jpg,,,,
,800373450,至高の邪騎 スベルニル,,Y24,P20/Y24,R,デュエマフェス ジャンケン大会優勝者賞,,,,,カード,580,600,,https://dm.takaratomy.co.jp/wp-content/card/cardimage/promoy24-020.jpg,,,,
,800373445,庵野水晶,,Y24,P19/Y24,R,王道W始動!削って当てろ!スクラッチキャンペーン,,,,,カード,6080,4000,,https://dm.takaratomy.co.jp/wp-content/card/cardimage/promoy24-019.jpg,,,,
,800373440,革命の絆,,Y24,P18/Y24,SR,公認イベント「10枚まで改造OK!王道の春デッキ限定戦W」優勝者賞及びジャンケン大会優勝者賞,,,,,カード,1180,400,,https://dm.takaratomy.co.jp/wp-content/card/cardimage/promoy24-018.jpg,,,,
,800373435,ハンプティ・ルピア,,Y24,P17/Y24,R,デュエマファンイベント・サポート 特別賞,,,,,カード,5980,2300,,https://dm.takaratomy.co.jp/wp-content/card/cardimage/promoy24-017.jpg,,,,
,800373425,ヴェネラック-F5,,Y24,P15/Y24,U,17th公認チャンピオンシップ 2ブロック構築及びシールド戦上位8名追加贈呈商品,,,,,カード,12800,10000,,https://dm.takaratomy.co.jp/wp-content/card/cardimage/promoy24-015.jpg,,,,
,800373420,ゼロの裏技ニヤリー・ゲット,,Y24,P14/Y24,C,17th公認チャンピオンシップ リモートデュエマカップ,,,,,カード,8480,7500,,https://dm.takaratomy.co.jp/wp-content/card/cardimage/promoy24-014.jpg,,,,
,800373410,氷柱と炎弧の決断,,Y24,P12/Y24,VR,17th公認チャンピオンシップ上位8名贈呈賞品,,,,,カード,980,600,,https://dm.takaratomy.co.jp/wp-content/card/cardimage/promoy24-012.jpg,,,,
,800373405,飛翔龍 5000VT,,Y24,P11/Y24,VIC,17th公認チャンピオンシップ優勝者贈呈賞品,,,,,カード,16800,13000,,https://dm.takaratomy.co.jp/wp-content/card/cardimage/promoy24-011.jpg,,,,
,800373400,ルピア＆ガ：ナテハ,,Y24,P10/Y24,U,デュエル・マスターズグランプリ2025-1st アドバンス構築及びオリジナル構築 GPセット,,,,,カード,880,300,,https://dm.takaratomy.co.jp/wp-content/card/cardimage/promoy24-010.jpg,,,,
,800373395,氷柱と炎弧の決断,,Y24,P9/Y24,VR,デュエル・マスターズグランプリ2025-1st アドバンス構築及びオリジナル構築上位128名贈呈賞品,,,,,カード,0,16000,,https://dm.takaratomy.co.jp/wp-content/card/cardimage/promoy24-009.jpg,,,,
,800373105,覇帝なき侵略 レッドゾーンF,,DM25SD2,秘1/秘1,SR,いきなりつよいデッキ 力の王道,,,,,カード,84800,70000,,https://files.cardrush.media/duel_masters/ocha_products/50373.webp?w=256&q=75,,,,
,800373035,漆黒の深淵 ジャシン帝,,DM25SD1,秘1/秘1,SR,いきなりつよいデッキ 技の王道,,,,,カード,42800,35000,,https://files.cardrush.media/duel_masters/ocha_products/50361.webp?w=256&q=75,,,,
,800373025,庵野水晶,,DM25SP1,TD5/TD5,R,キャラプレミアムデッキ 「ドラゴン娘になりたくないっ!」Jack-Pot-Live!! in 桜龍高校,,,,,カード,2380,1500,,https://dm.takaratomy.co.jp/wp-content/card/cardimage/dm25sp1-TD5.jpg,,,,
,800373020,星増樹,,DM25SP1,TD4/TD5,R,キャラプレミアムデッキ 「ドラゴン娘になりたくないっ!」Jack-Pot-Live!! in 桜龍高校,,,,,カード,280,100,,https://dm.takaratomy.co.jp/wp-content/card/cardimage/dm25sp1-TD4.jpg,,,,
,800373015,春咲栄久,,DM25SP1,TD3/TD5,R,キャラプレミアムデッキ 「ドラゴン娘になりたくないっ!」Jack-Pot-Live!! in 桜龍高校,,,,,カード,380,100,,https://dm.takaratomy.co.jp/wp-content/card/cardimage/dm25sp1-TD3.jpg,,,,
,800373010,ルード・ザーナ,,DM25SP1,TD2/TD5,R,キャラプレミアムデッキ 「ドラゴン娘になりたくないっ!」Jack-Pot-Live!! in 桜龍高校,,,,,カード,2180,2500,,https://dm.takaratomy.co.jp/wp-content/card/cardimage/dm25sp1-TD2.jpg,,,,
,800372960,ルード・ザーナ,,DM25SP1,8/16,R,キャラプレミアムデッキ 「ドラゴン娘になりたくないっ!」Jack-Pot-Live!! in 桜龍高校,,,,,カード,280,100,,https://dm.takaratomy.co.jp/wp-content/card/cardimage/dm25sp1-008.jpg,,,,
,800372950,龍風混成 ザーディクリカ,,DM25SP1,6/16,SR,キャラプレミアムデッキ 「ドラゴン娘になりたくないっ!」Jack-Pot-Live!! in 桜龍高校,,,,,カード,380,200,,https://dm.takaratomy.co.jp/wp-content/card/cardimage/dm25sp1-006.jpg,,,,
,800372945,頂上連結 ロッド・ゾージア5th,,DM25SP1,5/16,SR,キャラプレミアムデッキ 「ドラゴン娘になりたくないっ!」Jack-Pot-Live!! in 桜龍高校,,,,,カード,1080,700,,https://dm.takaratomy.co.jp/wp-content/card/cardimage/dm25sp1-005.jpg,,,,
,800372925,切札勝太&カツキング ー熱血の物語ー,,DM25SP1,1/16,DSR,キャラプレミアムデッキ 「ドラゴン娘になりたくないっ!」Jack-Pot-Live!! in 桜龍高校,,,,,カード,880,500,,https://dm.takaratomy.co.jp/wp-content/card/cardimage/dm25sp1-001.jpg,,,,
,800372675,インフェル星樹,,DMART23,5/5,VR,神アート ドラゴン娘むすめの文化祭ぶんかさいでウェカドラ♪,,,,,カード,780,300,,https://dm.takaratomy.co.jp/wp-content/card/cardimage/dmart23-005.jpg,,,,
,800372670,ボルバルザーク・エクス,,DMART23,4/5,SR,神アート ドラゴン娘むすめの文化祭ぶんかさいでウェカドラ♪,,,,,カード,480,200,,https://dm.takaratomy.co.jp/wp-content/card/cardimage/dmart23-004.jpg,,,,
,800372665,水晶の王 ゴスペル,,DMART23,3/5,SR,神アート ドラゴン娘むすめの文化祭ぶんかさいでウェカドラ♪,,,,,カード,4480,3500,,https://dm.takaratomy.co.jp/wp-content/card/cardimage/dmart23-003.jpg,,,,
,800372660,蒼神龍アナザー・ワールド,,DMART23,2/5,SR,神アート ドラゴン娘むすめの文化祭ぶんかさいでウェカドラ♪,,,,,カード,980,300,,https://dm.takaratomy.co.jp/wp-content/card/cardimage/dmart23-002.jpg,,,,
,800372655,「修羅」の頂 VAN・ベートーベン,,DMART23,1/5,SR,神アート ドラゴン娘むすめの文化祭ぶんかさいでウェカドラ♪,,,,,カード,1080,900,,https://dm.takaratomy.co.jp/wp-content/card/cardimage/dmart23-001.jpg,,,,
,800372650,天災 デドダム,,DMART22,5/5,R,神アート アニマル・マスターズ ～決闘たたかいは猫ねこである～,,,,,カード,1980,900,,https://dm.takaratomy.co.jp/wp-content/card/cardimage/dmart22-005.jpg,,,,
,800372645,同期の妖精/ド浮きの動悸,,DMART22,4/5,R,神アート アニマル・マスターズ ～決闘たたかいは猫ねこである～,,,,,カード,1080,700,,https://dm.takaratomy.co.jp/wp-content/card/cardimage/dmart22-004a.jpg,,,,
,800372640,ボン・キゴマイム/♪やせ蛙 ラッキーナンバー ここにあり,,DMART22,3/5,R,神アート アニマル・マスターズ ～決闘たたかいは猫ねこである～,,,,,カード,980,200,,https://dm.takaratomy.co.jp/wp-content/card/cardimage/dmart22-003a.jpg,,,,
,800372635,SSS級天災 デッドダムド,,DMART22,2/5,SR,神アート アニマル・マスターズ ～決闘たたかいは猫ねこである～,,,,,カード,980,500,,https://dm.takaratomy.co.jp/wp-content/card/cardimage/dmart22-002.jpg,,,,
,800372630,アーテル・ゴルギーニ,,DMART22,1/5,SR,神アート アニマル・マスターズ ～決闘たたかいは猫ねこである～,,,,,カード,4980,3000,,https://dm.takaratomy.co.jp/wp-content/card/cardimage/dmart22-001.jpg,,,,
,800372400,熱血の絆,,Y23,P128/Y23,R,にじさんじコラボマスターズ「異次元の超獣使い」限定戦参加賞パック,,,,,カード,880,500,,https://dm.takaratomy.co.jp/wp-content/card/cardimage/promoy23-128.jpg,,,,
,800372391,弾手人形ジェニムーン／月のダンスを見においで,,Y23,P119/Y23,C,にじさんじコラボマスターズ「異次元の超獣使い」限定戦参加賞パック,,,,,カード,380,100,,https://dm.takaratomy.co.jp/wp-content/card/cardimage/promoy23-119a.jpg,,,,
,800372386,電脳の女王 アリス/不埒な再侵入,,Y23,P114/Y23,-,王道篇フルコンプリートBOOK付録,,,,,カード,580,50,,https://dm.takaratomy.co.jp/wp-content/card/cardimage/promoy23-114a.jpg,,,,
,800372385,ポッピ・冠・ラッキー,,Y23,P113/Y23,R,王道篇フルコンプリートBOOK付録,,,,,カード,3180,2700,,https://dm.takaratomy.co.jp/wp-content/card/cardimage/promoy23-113.jpg,,,,
,800372380,ミリオンブレイブ・カイザー,,DM24EX4,秘10超/秘10,SR,にじさんじコラボ・マスターズ 異次元の超獣使い,,,,,カード,13800,9000,,https://dm.takaratomy.co.jp/wp-content/card/cardimage/dm24ex4-ChoSec010.jpg,,,,
,800372375,地雷冥土The World Is Mine,,DM24EX4,秘9超/秘10,SR,にじさんじコラボ・マスターズ 異次元の超獣使い,,,,,カード,6680,6500,,https://dm.takaratomy.co.jp/wp-content/card/cardimage/dm24ex4-ChoSec009.jpg,,,,
,800372370,血貴き侵略 ブラッドゾーン,,DM24EX4,秘8超/秘10,SR,にじさんじコラボ・マスターズ 異次元の超獣使い,,,,,カード,11800,6500,,https://dm.takaratomy.co.jp/wp-content/card/cardimage/dm24ex4-ChoSec008.jpg,,,,
,800372365,守護地龍 ザノウハウ,,DM24EX4,秘7超/秘10,SR,にじさんじコラボ・マスターズ 異次元の超獣使い,,,,,カード,6080,4500,,https://dm.takaratomy.co.jp/wp-content/card/cardimage/dm24ex4-ChoSec007.jpg,,,,
,800372360,爆裂英雄 A・R・T,,DM24EX4,秘6超/秘10,SR,にじさんじコラボ・マスターズ 異次元の超獣使い,,,,,カード,6080,4000,,https://dm.takaratomy.co.jp/wp-content/card/cardimage/dm24ex4-ChoSec006.jpg,,,,
,800372355,偽りの月 インターステラ,,DM24EX4,秘5超/秘10,SR,にじさんじコラボ・マスターズ 異次元の超獣使い,,,,,カード,23800,20000,,https://dm.takaratomy.co.jp/wp-content/card/cardimage/dm24ex4-ChoSec005.jpg,,,,
,800372350,聖霊龍王 メルヴェイユ,,DM24EX4,秘4超/秘10,SR,にじさんじコラボ・マスターズ 異次元の超獣使い,,,,,カード,17800,10000,,https://dm.takaratomy.co.jp/wp-content/card/cardimage/dm24ex4-ChoSec004.jpg,,,,
,800372345,ボルメテウス・レインボー・ドラゴン,,DM24EX4,秘3超/秘10,SR,にじさんじコラボ・マスターズ 異次元の超獣使い,,,,,カード,20080,16000,,https://dm.takaratomy.co.jp/wp-content/card/cardimage/dm24ex4-ChoSec003.jpg,,,,
,800372340,悪魔聖霊ジェミニアス,,DM24EX4,秘2超/秘10,SR,にじさんじコラボ・マスターズ 異次元の超獣使い,,,,,カード,20800,12000,,https://dm.takaratomy.co.jp/wp-content/card/cardimage/dm24ex4-ChoSec002.jpg,,,,
,800372335,審判の精霊ラストジャッジ,,DM24EX4,秘1超/秘10,SR,にじさんじコラボ・マスターズ 異次元の超獣使い,,,,,カード,18800,16000,,https://dm.takaratomy.co.jp/wp-content/card/cardimage/dm24ex4-ChoSec001.jpg,,,,
,800372330,ミリオンブレイブ・カイザー,,DM24EX4,秘10/秘10,SR,にじさんじコラボ・マスターズ 異次元の超獣使い,,,,,カード,3080,2300,,https://dm.takaratomy.co.jp/wp-content/card/cardimage/dm24ex4-ChoSec010.jpg,,,,
,800372325,地雷冥土The World Is Mine,,DM24EX4,秘9/秘10,SR,にじさんじコラボ・マスターズ 異次元の超獣使い,,,,,カード,1880,1200,,https://dm.takaratomy.co.jp/wp-content/card/cardimage/dm24ex4-Sec009.jpg,,,,
,800372320,血貴き侵略 ブラッドゾーン,,DM24EX4,秘8/秘10,SR,にじさんじコラボ・マスターズ 異次元の超獣使い,,,,,カード,2980,1500,,https://dm.takaratomy.co.jp/wp-content/card/cardimage/dm24ex4-Sec008.jpg,,,,
,800372315,守護地龍 ザノウハウ,,DM24EX4,秘7/秘10,SR,にじさんじコラボ・マスターズ 異次元の超獣使い,,,,,カード,1580,1100,,https://dm.takaratomy.co.jp/wp-content/card/cardimage/dm24ex4-Sec007.jpg,,,,
,800372310,爆裂英雄 A・R・T,,DM24EX4,秘6/秘10,SR,にじさんじコラボ・マスターズ 異次元の超獣使い,,,,,カード,1680,600,,https://dm.takaratomy.co.jp/wp-content/card/cardimage/dm24ex4-Sec006.jpg,,,,
,800372305,偽りの月 インターステラ,,DM24EX4,秘5/秘10,SR,にじさんじコラボ・マスターズ 異次元の超獣使い,,,,,カード,7880,4500,,https://dm.takaratomy.co.jp/wp-content/card/cardimage/dm24ex4-Sec005.jpg,,,,
,800372300,聖霊龍王 メルヴェイユ,,DM24EX4,秘4/秘10,SR,にじさんじコラボ・マスターズ 異次元の超獣使い,,,,,カード,4180,2300,,https://dm.takaratomy.co.jp/wp-content/card/cardimage/dm24ex4-Sec004.jpg,,,,
,800372295,ボルメテウス・レインボー・ドラゴン,,DM24EX4,秘3/秘10,SR,にじさんじコラボ・マスターズ 異次元の超獣使い,,,,,カード,4980,2800,,https://dm.takaratomy.co.jp/wp-content/card/cardimage/dm24ex4-Sec003.jpg,,,,
,800372290,悪魔聖霊ジェミニアス,,DM24EX4,秘2/秘10,SR,にじさんじコラボ・マスターズ 異次元の超獣使い,,,,,カード,5980,3500,,https://dm.takaratomy.co.jp/wp-content/card/cardimage/dm24ex4-Sec002.jpg,,,,
,800372285,審判の精霊ラストジャッジ,,DM24EX4,秘1/秘10,SR,にじさんじコラボ・マスターズ 異次元の超獣使い,,,,,カード,4180,2600,,https://dm.takaratomy.co.jp/wp-content/card/cardimage/dm24ex4-Sec001.jpg,,,,
,800372199,ブレイン・スラッシュ,,DM24EX4,PR14/PR60,R,にじさんじコラボ・マスターズ 異次元の超獣使い,,,,,カード,680,100,,https://dm.takaratomy.co.jp/wp-content/card/cardimage/dm24ex4-PR014.jpg,,,,
,800372189,ボン・キゴマイム/♪やせ蛙 ラッキーナンバー ここにあり,,DM24EX4,PR4/PR60,R,にじさんじコラボ・マスターズ 異次元の超獣使い,,,,,カード,80,50,,https://dm.takaratomy.co.jp/wp-content/card/cardimage/dm24ex4-PR004a.jpg,,,,
,800372188,ヘブンズ・ゲート,,DM24EX4,PR3/PR60,R,にじさんじコラボ・マスターズ 異次元の超獣使い,,,,,カード,380,100,,https://dm.takaratomy.co.jp/wp-content/card/cardimage/dm24ex4-PR003.jpg,,,,
,800372186,光鎧龍ホーリーグレイス,,DM24EX4,PR1/PR60,R,にじさんじコラボ・マスターズ 異次元の超獣使い,,,,,カード,180,50,,https://dm.takaratomy.co.jp/wp-content/card/cardimage/dm24ex4-PR001.jpg,,,,
